stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,axis_x,axis_y
10,high,3,3,20,0.00,8000,357,0,0,7643,1509,0.9354,-0.3537
10,high,3,6,20,0.10,8000,326,0,0,7674,1511,-1.0000,0.0000
10,high,3,12,20,0.00,8000,483,0,0,7517,1510,1.0000,0.0000
10,high,4,3,20,0.00,8000,369,0,0,7631,1509,0.9909,-0.1347
10,high,4,6,20,0.10,8000,282,0,0,7718,1510,-1.0000,0.0000
10,high,4,12,20,0.00,8000,540,0,0,7460,1511,1.0000,0.0000
10,high,5,3,20,0.00,8000,361,0,0,7639,1512,0.9998,-0.0194
10,high,5,6,20,0.10,8000,298,0,0,7702,1508,-1.0000,0.0000
10,high,5,12,20,0.00,8000,700,0,0,7300,1514,1.0000,0.0000
10,hcp30,0,12,10,0.20,8000,1274,0,0,6726,1510,1.0000,0.0000
10,hcp30,1,3,10,0.10,8000,1138,0,0,6862,1513,0.1630,-0.9866
10,hcp30,1,6,10,0.20,8000,1174,0,0,6826,1509,-1.0000,0.0000
10,hcp30,1,12,10,0.10,8000,1310,0,0,6690,1511,1.0000,0.0000
10,hcp30,2,3,10,0.20,8000,1205,0,0,6795,1506,0.2624,-0.9649
10,hcp30,2,6,10,0.10,8000,1059,0,0,6941,1512,-1.0000,0.0000
10,hcp30,2,12,10,0.20,8000,1453,0,0,6547,1509,1.0000,0.0000
10,hcp30,3,3,10,0.20,8000,1062,0,0,6938,1511,0.4176,-0.9086
10,hcp30,3,6,10,0.20,8000,1141,0,0,6859,1510,-1.0000,0.0000
10,hcp30,3,12,10,0.20,8000,1646,0,0,6354,1508,1.0000,0.0000
10,hcp30,4,3,10,0.20,8000,881,0,0,7119,1508,0.6105,-0.7920
10,hcp30,4,6,10,0.20,8000,1027,0,0,6973,1507,-1.0000,0.0000
10,hcp30,4,12,10,0.20,8000,1964,0,0,6036,1508,1.0000,0.0000
10,hcp30,5,3,10,0.20,8000,742,0,0,7258,1511,0.8312,-0.5559
10,hcp30,5,6,10,0.10,8000,900,0,0,7100,1511,-1.0000,0.0000
10,hcp30,5,12,10,0.30,8000,2510,0,0,5490,1508,1.0000,0.0000
10,hcp30,0,12,15,0.10,8000,658,0,0,7342,1510,1.0000,0.0000
10,hcp30,1,3,15,0.10,8000,612,0,0,7388,1512,0.1840,-0.9829
10,hcp30,1,6,15,0.10,8000,645,0,0,7355,1511,-1.0000,0.0000
10,hcp30,1,12,15,0.00,8000,669,0,0,7331,1518,1.0000,0.0000
10,hcp30,2,3,15,0.10,8000,596,0,0,7404,1509,0.3853,-0.9228
10,hcp30,2,6,15,0.00,8000,521,0,0,7479,1509,-1.0000,0.0000
10,hcp30,2,12,15,0.00,8000,721,0,0,7279,1510,1.0000,0.0000
10,hcp30,3,3,15,0.10,8000,501,0,0,7499,1509,0.5955,-0.8034
10,hcp30,3,6,15,0.00,8000,482,0,0,7518,1510,-1.0000,0.0000
10,hcp30,3,12,15,0.00,8000,801,0,0,7199,1510,1.0000,0.0000
10,hcp30,4,3,15,0.10,8000,413,0,0,7587,1514,0.8140,-0.5808
10,hcp30,4,6,15,0.10,8000,536,0,0,7464,1515,-1.0000,0.0000
10,hcp30,4,12,15,0.00,8000,1016,0,0,6984,1510,1.0000,0.0000
10,hcp30,5,3,15,0.20,8000,447,0,0,7553,1507,0.9004,-0.4351
10,hcp30,5,6,15,0.10,8000,457,0,0,7543,1509,-1.0000,0.0000
10,hcp30,5,12,15,0.00,8000,1261,0,0,6739,1509,1.0000,0.0000
10,hcp30,0,12,20,0.00,8000,423,0,0,7577,1506,1.0000,0.0000
10,hcp30,1,3,20,0.00,8000,376,0,0,7624,1508,0.4222,-0.9065
10,hcp30,1,6,20,0.00,8000,368,0,0,7632,1511,-1.0000,0.0000
10,hcp30,1,12,20,0.00,8000,387,0,0,7613,1506,1.0000,0.0000
10,hcp30,2,3,20,0.00,8000,357,0,0,7643,1509,0.7541,-0.6568
10,hcp30,2,6,20,0.00,8000,318,0,0,7682,1508,-1.0000,0.0000
10,hcp30,2,12,20,0.00,8000,446,0,0,7554,1511,1.0000,0.0000
10,hcp30,3,3,20,0.00,8000,305,0,0,7695,1506,0.9354,-0.3537
10,hcp30,3,6,20,0.10,8000,326,0,0,7674,1507,-1.0000,0.0000
10,hcp30,3,12,20,0.00,8000,568,0,0,7432,1508,1.0000,0.0000
10,hcp30,4,3,20,0.10,8000,259,0,0,7741,1510,0.8532,-0.5215
10,hcp30,4,6,20,0.00,8000,254,0,0,7746,1512,-1.0000,0.0000
10,hcp30,4,12,20,0.00,8000,642,0,0,7358,1510,1.0000,0.0000
10,hcp30,5,3,20,0.10,8000,227,0,0,7773,1511,0.9778,-0.2094
10,hcp30,5,6,20,0.00,8000,253,0,0,7747,1507,-1.0000,0.0000
10,hcp30,5,12,20,0.00,8000,827,0,0,7173,1512,1.0000,0.0000
