stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,high,0,12,10,1.00,true,0.15825,0.00408,0.22541,2.07132,0.00542,1.0039,0.0016,1.0303,0.25508,0.00450
10,high,0,12,10,1.10,true,0.14925,0.00398,0.26349,2.11939,0.00547,1.1021,0.0006,1.1282,0.30315,0.00466
10,high,0,12,10,1.20,true,0.14062,0.00389,0.30133,2.16693,0.00551,1.2010,0.0001,1.2267,0.35070,0.00480
10,high,0,12,15,0.00,true,0.07387,0.00292,0.03155,1.95811,0.00310,0.3106,0.5456,0.4196,0.00815,0.00225
10,high,0,12,15,0.10,true,0.08500,0.00312,0.03568,1.95119,0.00333,0.3539,0.4395,0.4360,0.00123,0.00166
10,high,0,12,15,0.20,true,0.09538,0.00328,0.04468,1.94996,0.00356,0.4074,0.3457,0.4699,0.00000,0.00000
10,high,0,12,15,0.30,true,0.10138,0.00337,0.05864,1.95816,0.00375,0.4645,0.2615,0.5174,0.00820,0.00146
10,high,0,12,15,0.40,true,0.10487,0.00343,0.07744,1.97379,0.00392,0.5305,0.1931,0.5785,0.02383,0.00216
10,high,0,12,15,0.50,true,0.10412,0.00341,0.10060,1.99813,0.00405,0.6004,0.1390,0.6477,0.04818,0.00256
10,high,0,12,15,0.60,true,0.10262,0.00339,0.12761,2.02717,0.00418,0.6756,0.0976,0.7247,0.07722,0.00290
10,high,0,12,15,0.70,true,0.09975,0.00335,0.15768,2.06076,0.00430,0.7558,0.0675,0.8074,0.11080,0.00318
10,high,0,12,15,0.80,true,0.09525,0.00328,0.19012,2.09844,0.00438,0.8397,0.0467,0.8932,0.14848,0.00339
10,high,0,12,15,0.90,true,0.09112,0.00322,0.22459,2.13788,0.00446,0.9288,0.0322,0.9840,0.18792,0.00362
10,high,0,12,15,1.00,true,0.08700,0.00315,0.25984,2.17821,0.00452,1.0190,0.0209,1.0767,0.22825,0.00381
10,high,0,12,15,1.10,true,0.08250,0.00308,0.29549,2.21941,0.00456,1.1117,0.0139,1.1707,0.26946,0.00396
10,high,0,12,15,1.20,true,0.07800,0.00300,0.33119,2.26077,0.00457,1.2067,0.0088,1.2668,0.31081,0.00410
10,high,0,12,20,0.00,true,0.04850,0.00240,0.08735,2.04022,0.00292,0.3995,0.5226,0.5969,0.00000,0.00000
10,high,0,12,20,0.10,true,0.05187,0.00248,0.09290,2.04251,0.00303,0.4470,0.4465,0.6138,0.00228,0.00119
10,high,0,12,20,0.20,true,0.05462,0.00254,0.10317,2.05024,0.00316,0.5001,0.3772,0.6426,0.01002,0.00170
10,high,0,12,20,0.30,true,0.05800,0.00261,0.11773,2.06172,0.00332,0.5529,0.3088,0.6827,0.02150,0.00209
10,high,0,12,20,0.40,true,0.05800,0.00261,0.13625,2.08065,0.00343,0.6148,0.2545,0.7312,0.04043,0.00240
10,high,0,12,20,0.50,true,0.05738,0.00260,0.15828,2.10381,0.00354,0.6765,0.2022,0.7886,0.06359,0.00269
10,high,0,12,20,0.60,true,0.05738,0.00260,0.18323,2.12936,0.00366,0.7453,0.1603,0.8543,0.08914,0.00298
10,high,0,12,20,0.70,true,0.05625,0.00258,0.21064,2.15861,0.00376,0.8166,0.1238,0.9264,0.11839,0.00325
10,high,0,12,20,0.80,true,0.05437,0.00254,0.23964,2.19029,0.00384,0.8898,0.0933,1.0028,0.15006,0.00345
10,high,0,12,20,0.90,true,0.05425,0.00253,0.26971,2.22136,0.00395,0.9700,0.0716,1.0843,0.18114,0.00364
10,high,0,12,20,1.00,true,0.05275,0.00250,0.30114,2.25529,0.00401,1.0525,0.0525,1.1704,0.21507,0.00385
10,high,0,12,20,1.10,true,0.05112,0.00246,0.33255,2.28941,0.00406,1.1366,0.0375,1.2582,0.24919,0.00399
10,high,0,12,20,1.20,true,0.04688,0.00236,0.36467,2.32696,0.00402,1.2264,0.0287,1.3476,0.28674,0.00410
10,hcp30,0,12,10,0.00,true,0.12962,0.00376,0.06644,1.94078,0.00427,0.4191,0.5782,0.4470,0.01232,0.00282
10,hcp30,0,12,10,0.10,true,0.14688,0.00396,0.07185,1.92934,0.00453,0.4722,0.5001,0.4644,0.00088,0.00195
10,hcp30,0,12,10,0.20,true,0.15925,0.00409,0.08254,1.92846,0.00478,0.5254,0.4231,0.4947,0.00000,0.00000
10,hcp30,0,12,10,0.30,true,0.16450,0.00414,0.09863,1.94052,0.00498,0.5874,0.3550,0.5382,0.01206,0.00200
10,hcp30,0,12,10,0.40,true,0.17175,0.00422,0.11844,1.95464,0.00523,0.6499,0.2893,0.5945,0.02618,0.00281
10,hcp30,0,12,10,0.50,true,0.17375,0.00424,0.14144,1.97753,0.00544,0.7177,0.2359,0.6587,0.04907,0.00339
10,hcp30,0,12,10,0.60,true,0.17638,0.00426,0.16780,2.00351,0.00568,0.7936,0.1915,0.7338,0.07505,0.00395
10,hcp30,0,12,10,0.70,true,0.17600,0.00426,0.19626,2.03493,0.00588,0.8673,0.1496,0.8149,0.10647,0.00442
10,hcp30,0,12,10,0.80,true,0.17413,0.00424,0.22586,2.06926,0.00606,0.9496,0.1212,0.9000,0.14080,0.00483
10,hcp30,0,12,10,0.90,true,0.17087,0.00421,0.25659,2.10637,0.00622,1.0305,0.0950,0.9884,0.17791,0.00518
10,hcp30,0,12,10,1.00,true,0.16650,0.00416,0.28822,2.14584,0.00635,1.1176,0.0760,1.0807,0.21738,0.00552
10,hcp30,0,12,10,1.10,true,0.15850,0.00408,0.32138,2.19087,0.00642,1.2074,0.0600,1.1766,0.26241,0.00584
10,hcp30,0,12,10,1.20,true,0.15200,0.00401,0.35374,2.23378,0.00649,1.2997,0.0473,1.2747,0.30532,0.00614
10,hcp30,0,12,15,0.00,true,0.07587,0.00296,0.15684,2.09190,0.00416,0.6117,0.5436,0.6680,0.00000,0.00000
10,hcp30,0,12,15,0.10,true,0.08225,0.00307,0.16266,2.09193,0.00432,0.6625,0.4871,0.6866,0.00003,0.00166
10,hcp30,0,12,15,0.20,true,0.08500,0.00312,0.17255,2.10003,0.00444,0.7178,0.4357,0.7133,0.00813,0.00231
10,hcp30,0,12,15,0.30,true,0.08712,0.00315,0.18600,2.11268,0.00458,0.7805,0.3908,0.7492,0.02078,0.00286
10,hcp30,0,12,15,0.40,true,0.09137,0.00322,0.20244,2.12656,0.00477,0.8409,0.3438,0.7956,0.03466,0.00341
10,hcp30,0,12,15,0.50,true,0.09463,0.00327,0.22062,2.14344,0.00495,0.9041,0.3028,0.8474,0.05154,0.00383
10,hcp30,0,12,15,0.60,true,0.09413,0.00326,0.24177,2.16740,0.00508,0.9703,0.2648,0.9061,0.07550,0.00427
10,hcp30,0,12,15,0.70,true,0.09350,0.00325,0.26443,2.19330,0.00520,1.0406,0.2322,0.9706,0.10140,0.00468
10,hcp30,0,12,15,0.80,true,0.09475,0.00327,0.28842,2.21894,0.00536,1.1158,0.2026,1.0434,0.12704,0.00510
10,hcp30,0,12,15,0.90,true,0.09200,0.00323,0.31387,2.25035,0.00544,1.1871,0.1730,1.1190,0.15845,0.00545
10,hcp30,0,12,15,1.00,true,0.08925,0.00319,0.33978,2.28247,0.00551,1.2695,0.1533,1.1980,0.19057,0.00576
