stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
8,tour,0,12,80,0.20,true,0.00630,0.00079,0.35959,2.35374,0.00262,1.3310,0.4643,2.0343,0.00512,0.00059
8,tour,0,12,80,0.30,true,0.00600,0.00077,0.36317,2.35764,0.00262,1.3766,0.4403,2.0525,0.00902,0.00075
8,tour,0,12,80,0.40,true,0.00620,0.00078,0.36745,2.36175,0.00264,1.4220,0.4162,2.0752,0.01313,0.00092
8,tour,0,12,80,0.50,true,0.00610,0.00078,0.37249,2.36691,0.00265,1.4664,0.3915,2.1011,0.01828,0.00109
8,tour,0,12,80,0.60,true,0.00630,0.00079,0.37830,2.37255,0.00267,1.5185,0.3695,2.1317,0.02393,0.00128
8,tour,0,12,80,0.70,true,0.00630,0.00079,0.38479,2.37908,0.00269,1.5727,0.3488,2.1652,0.03046,0.00144
8,tour,0,12,80,0.80,true,0.00580,0.00076,0.39188,2.38671,0.00268,1.6277,0.3289,2.2010,0.03809,0.00158
8,tour,0,12,80,0.90,true,0.00560,0.00075,0.39959,2.39465,0.00269,1.6889,0.3115,2.2408,0.04603,0.00173
8,tour,0,12,80,1.00,true,0.00550,0.00074,0.40783,2.40305,0.00270,1.7400,0.2902,2.2839,0.05443,0.00188
8,tour,0,12,80,1.10,true,0.00530,0.00073,0.41653,2.41199,0.00270,1.7927,0.2699,2.3295,0.06337,0.00200
8,tour,0,12,80,1.20,true,0.00530,0.00073,0.42568,2.42121,0.00271,1.8440,0.2489,2.3786,0.07259,0.00212
8,tour,0,12,90,0.00,true,0.00400,0.00063,0.43274,2.42959,0.00264,1.3981,0.5156,2.4090,0.00000,0.00000
8,tour,0,12,90,0.10,true,0.00440,0.00066,0.43480,2.43127,0.00266,1.4386,0.4929,2.4217,0.00168,0.00030
8,tour,0,12,90,0.20,true,0.00480,0.00069,0.43744,2.43352,0.00268,1.4817,0.4709,2.4378,0.00393,0.00050
8,tour,0,12,90,0.30,true,0.00450,0.00067,0.44068,2.43710,0.00267,1.5264,0.4493,2.4560,0.00751,0.00069
