stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,tour,1,3,15,1.20,true,0.14500,0.00394,0.14433,1.99933,0.00475,1.2043,0.0013,1.2221
8,tour,1,3,20,0.00,true,0.10038,0.00336,0.00532,1.90495,0.00339,0.2854,0.5477,0.3896
8,tour,1,3,20,0.10,true,0.11812,0.00361,0.00632,1.88819,0.00364,0.3628,0.4482,0.4029
8,tour,1,3,20,0.20,true,0.12562,0.00371,0.00867,1.88305,0.00375,0.4155,0.3554,0.4318
8,tour,1,3,20,0.30,true,0.13237,0.00379,0.01287,1.88050,0.00386,0.4730,0.2724,0.4772
8,tour,1,3,20,0.40,true,0.13462,0.00382,0.01924,1.88461,0.00393,0.5337,0.1976,0.5362
8,tour,1,3,20,0.50,true,0.13725,0.00385,0.02800,1.89075,0.00402,0.6045,0.1414,0.6075
8,tour,1,3,20,0.60,true,0.13425,0.00381,0.03943,1.90518,0.00405,0.6783,0.0975,0.6856
8,tour,1,3,20,0.70,true,0.13037,0.00376,0.05346,1.92309,0.00409,0.7574,0.0661,0.7691
8,tour,1,3,20,0.80,true,0.12637,0.00371,0.07037,1.94399,0.00413,0.8428,0.0435,0.8592
8,tour,1,3,20,0.90,true,0.11875,0.00362,0.09002,1.97127,0.00414,0.9318,0.0289,0.9513
8,tour,1,3,20,1.00,true,0.11338,0.00354,0.11092,1.99755,0.00417,1.0195,0.0180,1.0426
8,tour,1,3,20,1.10,true,0.10612,0.00344,0.13640,2.03028,0.00419,1.1184,0.0101,1.1447
8,tour,1,3,20,1.20,true,0.09713,0.00331,0.16412,2.06701,0.00417,1.2208,0.0061,1.2479
8,tour,1,6,10,0.00,true,0.25162,0.00485,0.00009,1.74847,0.00485,0.1625,0.6157,0.1985
8,tour,1,6,10,0.10,true,0.31988,0.00521,0.00008,1.68021,0.00522,0.2105,0.4036,0.2184
8,tour,1,6,10,0.20,true,0.35025,0.00533,0.00023,1.64998,0.00534,0.2712,0.2255,0.2700
8,tour,1,6,10,0.30,true,0.35675,0.00536,0.00071,1.64396,0.00536,0.3464,0.1129,0.3457
8,tour,1,6,10,0.40,true,0.34963,0.00533,0.00193,1.65230,0.00535,0.4309,0.0500,0.4351
