stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,mid,0,12,10,0.40,true,0.25900,0.00490,0.01385,1.75485,0.00500,0.4457,0.0798,0.4541,0.00814,0.00185
10,mid,0,12,10,0.50,true,0.25175,0.00485,0.02472,1.77298,0.00504,0.5314,0.0416,0.5433,0.02626,0.00245
10,mid,0,12,10,0.60,true,0.24525,0.00481,0.03987,1.79463,0.00510,0.6220,0.0202,0.6372,0.04791,0.00280
10,mid,0,12,10,0.70,true,0.23638,0.00475,0.05952,1.82317,0.00518,0.7173,0.0106,0.7334,0.07645,0.00306
10,mid,0,12,10,0.80,true,0.22500,0.00467,0.08352,1.85856,0.00525,0.8138,0.0045,0.8312,0.11184,0.00335
10,mid,0,12,10,0.90,true,0.21150,0.00457,0.11114,1.89970,0.00531,0.9120,0.0027,0.9288,0.15298,0.00362
10,mid,0,12,10,1.00,true,0.20037,0.00448,0.14161,1.94133,0.00539,1.0107,0.0011,1.0276,0.19461,0.00385
10,mid,0,12,10,1.10,true,0.19000,0.00439,0.17430,1.98444,0.00547,1.1106,0.0002,1.1275,0.23772,0.00409
10,mid,0,12,10,1.20,true,0.17900,0.00429,0.20875,2.02995,0.00553,1.2115,0.0002,1.2277,0.28323,0.00432
10,mid,0,12,15,0.00,true,0.10000,0.00335,0.00831,1.90832,0.00340,0.2817,0.5486,0.3645,0.02044,0.00259
10,mid,0,12,15,0.10,true,0.11575,0.00358,0.01008,1.89433,0.00363,0.3274,0.4320,0.3811,0.00646,0.00178
10,mid,0,12,15,0.20,true,0.12662,0.00372,0.01449,1.88787,0.00380,0.3823,0.3300,0.4160,0.00000,0.00000
10,mid,0,12,15,0.30,true,0.12987,0.00376,0.02204,1.89218,0.00389,0.4405,0.2405,0.4654,0.00430,0.00160
10,mid,0,12,15,0.40,true,0.13350,0.00380,0.03299,1.89951,0.00401,0.5080,0.1715,0.5288,0.01163,0.00214
10,mid,0,12,15,0.50,true,0.13662,0.00384,0.04739,1.91079,0.00414,0.5792,0.1145,0.6032,0.02292,0.00253
10,mid,0,12,15,0.60,true,0.13650,0.00384,0.06549,1.92903,0.00426,0.6601,0.0789,0.6848,0.04115,0.00283
10,mid,0,12,15,0.70,true,0.13225,0.00379,0.08766,1.95546,0.00433,0.7427,0.0481,0.7733,0.06759,0.00317
10,mid,0,12,15,0.80,true,0.12662,0.00372,0.11299,1.98645,0.00440,0.8305,0.0302,0.8638,0.09857,0.00339
10,mid,0,12,15,0.90,true,0.12112,0.00365,0.14123,2.02023,0.00448,0.9221,0.0178,0.9582,0.13235,0.00361
10,mid,0,12,15,1.00,true,0.11638,0.00359,0.17148,2.05527,0.00456,1.0171,0.0113,1.0537,0.16740,0.00379
10,mid,0,12,15,1.10,true,0.11150,0.00352,0.20306,2.09178,0.00462,1.1119,0.0068,1.1491,0.20391,0.00393
10,mid,0,12,15,1.20,true,0.10600,0.00344,0.23612,2.13042,0.00467,1.2090,0.0038,1.2465,0.24254,0.00407
10,mid,0,12,20,0.00,true,0.06162,0.00269,0.02846,1.96685,0.00284,0.3715,0.5286,0.5062,0.00245,0.00129
10,mid,0,12,20,0.10,true,0.06725,0.00280,0.03164,1.96440,0.00297,0.4169,0.4438,0.5212,0.00000,0.00000
10,mid,0,12,20,0.20,true,0.07050,0.00286,0.03832,1.96784,0.00308,0.4693,0.3655,0.5504,0.00344,0.00140
10,mid,0,12,20,0.30,true,0.07325,0.00291,0.04847,1.97525,0.00320,0.5256,0.2944,0.5918,0.01085,0.00190
10,mid,0,12,20,0.40,true,0.07637,0.00297,0.06203,1.98569,0.00334,0.5876,0.2324,0.6453,0.02129,0.00231
10,mid,0,12,20,0.50,true,0.07838,0.00300,0.07877,2.00045,0.00348,0.6519,0.1778,0.7074,0.03605,0.00261
10,mid,0,12,20,0.60,true,0.07863,0.00301,0.09866,2.02011,0.00360,0.7205,0.1325,0.7773,0.05571,0.00286
10,mid,0,12,20,0.70,true,0.07687,0.00298,0.12150,2.04473,0.00370,0.7949,0.0976,0.8534,0.08033,0.00309
